Category_id,Category
1,ART AND DESIGN
2,AUTO AND VEHICLES
3,BEAUTY
4,BOOKS AND REFERENCE
5,BUSINESS
6,COMICS
7,COMMUNICATION
8,DATING
9,EDUCATION
10,ENTERTAINMENT
11,EVENTS
12,FAMILY
13,FOOD AND DRINK
14,GAME
15,HEALTH AND FITNESS
16,HOUSE AND HOME
17,LIBRARIES AND DEO
18,LIFESTYLE
19,MAPS AND NAVIGATION
20,MEDICAL
21,NEWS AND MAGAZINES
22,OFFICE
23,OFOFFICE
24,PARENTING
25,PERSONALIZATION
26,PHOTOGRAPHY
27,PRODUCTIVITY
28,SHOPPING
29,SOCIAL
30,SPORTS
31,TOOLS
32,TRAVEL AND LOCAL
33,VIDEO_PLAYERS
34,WEATHER
