Action,310
Adventure,79
Arcade,198
Art & Design,65
Auto & Vehicles,85
Beauty,53
Board,40
Board;Action_&_Adventure,3
Board;Brain_Gaes,15
Board;Pretend_Play,1
Books & Reference,222
Books_&_Reference;Creativity,1
Books_&_Reference;Education,2
Business,419
Card,46
Card;Action_&_Adventure,2
Casino,39
Casual,223
Comics,55
Communication,314
Counication;Creativity,1
Dating,170
Education,677
Entertainment,587
Events,64
Food & Drink,111
Health & Fitness,287
Health_&_Fitness;Action_&_Adventure,1
Health_&_Fitness;Education,1
House & Home,74
Libraries & Deo,84
Lifestyle,369
Lifestyle;Education,1
Maps & Navigation,131
Medical,394
Music,19
News & Magazines,254
Office,340
Parenting,59
Personalization,375
Photography,279
Productivity,374
Puzzle,138
Racing,106
Racing;Pretend_Play,1
Role Playing,115
Shopping,202
Simulation,206
Social,237
Sports,331
Sports;Action_&_Adventure,4
Strategy,99
Tools,821
Travel & Local,218
Travel_&_Local;Action_&_Adventure,1
Trivia,38
Trivia;Education,1
Video Players & Editors,164
Weather,79
Word,22
usic;usic_&_Video,3
usic_&_Audio;usic_&_Video,1
