Category,Apps,Installs
COMMUNICATION,essenger_–_Text_and_Video_Chat_for_Free,1000000000
COMMUNICATION,Hangouts,1000000000
COMMUNICATION,Gail,1000000000
COMMUNICATION,Skype_-_free_I_&_video_calls,1000000000
COMMUNICATION,WhatsApp_essenger,1000000000
COMMUNICATION,Google_Chroe:_Fast_&_Secure,1000000000
COMMUNICATION,LINE:_Free_Calls_&_essages,500000000
COMMUNICATION,Viber_essenger,500000000
COMMUNICATION,Google_Duo_-_High_Quality_Video_Calls,500000000
COMMUNICATION,UC_Browser_-_Fast_Download_Private_&_Secure,500000000
COMMUNICATION,io_free_video_calls_and_chat,500000000
COMMUNICATION,essenger_Lite:_Free_Calls_&_essages,100000000
COMMUNICATION,Telegra,100000000
COMMUNICATION,KakaoTalk:_Free_Calls_&_Text,100000000
COMMUNICATION,Who,100000000
COMMUNICATION,Opera_ini_-_fast_web_browser,100000000
COMMUNICATION,Kik,100000000
COMMUNICATION,WeChat,100000000
COMMUNICATION,Truecaller:_Caller_ID_SS_spa_blocking_&_Dialer,100000000
COMMUNICATION,Yahoo_ail_–_Stay_Organized,100000000
