Category,App_Name,No_Of_Installs
SOCIAL,Facebook,1000000000
SOCIAL,Google,1000000000
SOCIAL,Instagra,1000000000
SOCIAL,Facebook_Lite,500000000
SOCIAL,Snapchat,500000000
SOCIAL,Tango_-_Live_Video_Broadcast,100000000
SOCIAL,VK,100000000
SOCIAL,Tublr,100000000
SOCIAL,Pinterest,100000000
SOCIAL,LinkedIn,100000000
SOCIAL,Badoo_-_Free_Chat_&_Dating_App,100000000
SOCIAL,Tik_Tok_-_including_usical.ly,100000000
SOCIAL,BIGO_LIVE_-_Live_Strea,100000000
SOCIAL,ooVoo_Video_Calls_essaging_&_Stories,50000000
SOCIAL,Zello_PTT_Walkie_Talkie,50000000
SOCIAL,POF_Free_Dating_App,50000000
SOCIAL,SKOUT_-_eet_Chat_Go_Live,50000000
SOCIAL,eete:_Chat_&_eet_New_People,50000000
SOCIAL,HTC_Social_Plugin_-_Facebook,10000000
SOCIAL,Periscope_-_Live_Video,10000000
